LLB,SBI,AFC,LASD,LLSD,material_id,formula,num_elements,bandgap,energy_above_hull,formation_energy_per_atom
0.0,2.4,6.0,2.3126112233192515,0.0,mp-15789,Li1 Dy1 S2,3,1.934699999999999,0.0,-2.093866129999999
0.0,2.4,6.0,2.2999057728946366,0.0,mp-15791,Li1 Er1 S2,3,2.006599999999999,0.0,-2.104926434583332
0.0,2.355,6.0,2.420130331875577,0.0,mp-15793,Li1 Tb1 Se2,3,1.5013,0.0,-1.926553913671874
0.0,2.355,6.0,2.412878548766453,0.0,mp-15795,Li1 Dy1 Se2,3,1.534799999999999,0.0,-1.9649048499479127
0.0,2.4,6.0,2.307592794069058,0.0,mp-15790,Li1 Ho1 S2,3,1.9863,0.0,-2.09772104083333
0.0,2.355,6.0,2.426592975665976,0.0,mp-15792,Li1 Gd1 Se2,3,1.1717,0.0,-1.926430368697914
0.0,4.5,4.0,1.6866961623493792,0.0,mp-24199,Li1 H1 F2,3,8.0448,0.0,-2.538795086145833
0.0,3.69,6.0,1.7606087562491188,0.0,mp-8001,Li1 Al1 O2,3,6.1183,0.0,-3.096943435208333
0.0,2.952000000000001,3.6,2.226557568585364,3.651944337074754,mp-8180,Li2 N2 O6,3,2.9369,0.0,-1.386762498666665
0.0,1.21,8.0,2.957439217815626,4.747091982112111,mp-13276,Sr2 Li2 P2,3,1.343099999999999,0.0,-1.134869963214286
0.0,0.8399999999999993,6.571428571428571,6.125319920584082,6.747743014715917,mp-680436,Rb16 Li8 Sn32,3,1.087899999999999,0.0,-0.291459588511903
0.0,0.5630769230769228,1.8461538461538465,4.659227121666317,5.462824865529235,mp-1198726,Li8 B48 H48,3,5.6126000000000005,0.0,-0.401725194967948
0.0,0.3450000000000001,6.75,6.03591015432092,8.837085241233835,mp-3949,K28 Li4 Si32,3,1.7232999999999992,0.0,-0.058595948692708
0.0,1.0542857142857145,4.571428571428571,3.905317845758913,4.836674270592647,mp-530399,Li4 Al20 O32,3,5.5169000000000015,0.0,-3.350604872559523
0.0,1.0542857142857145,4.571428571428571,4.065747975108748,5.034867084598226,mp-28146,Li4 Ga20 O32,3,2.8766,0.0,-2.313177789702379
0.0,2.926666666666667,9.333333333333334,1.8358667012084744,0.0,mp-1100398,Li1 Be1 Sb1,3,1.010499999999999,0.0,-0.325963126111111
0.0,1.4266666666666663,5.333333333333333,2.059990030169196,0.0,mp-1207082,Li1 Mg1 Sb1,3,1.4438,0.0,-0.616211496111109
0.0,1.6000000000000003,5.333333333333333,1.914606773509054,0.0,mp-12558,Li1 Mg1 As1,3,1.372299999999999,0.0,-0.8998631680555551
0.0,2.7466666666666666,5.333333333333333,1.5416753926835505,0.0,mp-37906,Li1 Mg1 N1,3,2.4462,0.0,-0.8117910368055551
0.0,1.6133333333333333,5.333333333333333,1.8590129010491727,0.0,mp-36111,Li1 Mg1 P1,3,1.7113,0.0,-0.75129741765873
